Year,Month,Month,การเมือง,กีฬา,ต่างประเทศ,บันเทิง,วิทยาศาสตร์เทคโนโลยี,สังคมไทย,อาชญากรรม,เศรษฐกิจ,สิ่งแวดล้อม,Total
2022,1,Jan,1975,137,763,686,169,2445,541,963,98,7777
2022,2,Feb,1671,149,805,736,150,2053,531,957,117,7169
2022,3,Mar,1768,187,1017,856,159,2237,605,1049,67,7945
2022,4,Apr,2024,137,755,656,143,1871,535,883,76,7080
2022,5,May,2521,250,831,658,153,2294,474,1046,69,8296
2022,6,Jun,2239,200,879,697,217,2320,484,1106,68,8210
2022,7,Jul,2153,184,933,629,182,2218,451,1029,97,7876
2022,8,Aug,2156,171,878,806,195,2380,575,1068,160,8389
2022,9,Sep,2178,199,1021,840,220,2400,523,1146,254,8781
2022,10,Oct,1900,199,910,865,192,2201,592,1096,216,8171
2022,11,Nov,2058,313,972,800,193,2139,620,1148,99,8342
2022,12,Dec,1828,229,818,691,164,2197,490,1041,91,7549
2023,13,Jan,2089,169,825,785,220,2174,644,1025,103,8034
2023,14,Feb,2176,176,782,775,201,1972,649,993,110,7834
2023,15,Mar,2476,201,954,740,197,2095,664,1128,139,8594
2023,16,Apr,2553,144,783,350,205,1846,577,859,100,7417
2023,17,May,3134,312,887,370,208,1991,671,972,124,8669
2023,18,Jun,2029,330,825,313,182,1941,544,1013,150,7327
2023,19,Jul,2727,308,782,361,206,1746,561,984,182,7857
2023,20,Aug,2679,349,739,254,192,1747,504,1029,162,7655
2023,21,Sep,2420,434,741,321,170,1577,712,997,171,7543
2023,22,Oct,2379,323,929,305,160,1762,531,1051,161,7601
2023,23,Nov,1950,232,801,344,178,1610,644,1041,197,6997
2023,24,Dec,1888,205,606,415,152,1529,529,962,183,6469
Sum,,,52971,5538,20236,14253,4408,48745,13651,24586,3194,187582