set,headline,link,date,news_station,category
1,ด่วน ผวจ.ปราจีนบุรีเตรียมแถลง ซีเซียม 137 สารอันตราย หายจากโรงไฟฟ้าฯ,https://www.thairath.co.th/news/local/central/2653246,2023-03-14,ไทยรัฐ,สังคมไทย
1,"ออกหมายจับเพิ่ม ""กำนันนก นครปฐม"" พยานหลักฐานชัด โยงมือปืนฆ่าตำรวจทางหลวง",https://www.thairath.co.th/news/crime/2723350,2023-09-07,ไทยรัฐ,อาชญากรรม
1,ชื่นมื่น ก้าวไกล ถก 5 พรรคร่วม หารือ MOU คุยจัดตั้งรัฐบาล “พิธา-ชลน่าน” จับมือโชว์สื่อ,https://www.thairath.co.th/news/politic/2694749,2023-05-17,ไทยรัฐ,การเมือง
2,"เร่งค้นหา ""แตงโม"" พลัดตกสปีดโบ๊ตกลางแม่น้ำเจ้าพระยา",https://www.thaipbs.or.th/news/content/313058,2022-02-24,ThaiPBS,อาชญากรรม
2,"ระทึก! เปิดสภา โหวตนายก ฝ่า 376 ""พิธา"" จะขึ้นสวรรค์ หรือได้แค่ฝันค้าง",https://www.thairath.co.th/news/politic/2709100,2023-07-13,ไทยรัฐ,การเมือง
2,เกิดเหตุเหยียบกันในงานฮาโลวีนอิแทวอน หัวใจหยุดเต้นต้อง CPR กว่า 50 ราย,https://www.thairath.co.th/news/foreign/2539475,2022-10-29,ไทยรัฐ,ต่างประเทศ
3,"ข้าวเหนียวมะม่วง ร้านดังยอดพุ่ง 4 เท่า หลัง ""มิลลิ"" กินโชว์บนเวทีดังระดับโลก",https://www.thairath.co.th/news/society/2370011,2022-04-17,ไทยรัฐ,สังคมไทย
3,ลุงพล เปิดตัวทีมทนายใหม่สู้คดีน้องชมพู่ หลังศาลสั่งถอนทีมทนายตั้ม,https://www.thairath.co.th/news/crime/2335812,2022-03-08,ไทยรัฐ,อาชญากรรม
3,สหรัฐฯ ขู่คว่ำบาตรรุนแรง หากรัสเซียรุกรานยูเครน ,https://thestandard.co/us-threatens-severe-sanctions-if-russia-invades-ukraine/,2022-01-10,The Standard,ต่างประเทศ
4,เพจดังเปิดเอกสาร โตโน่ ว่ายน้ำ 33 ภารกิจ-หน่วยงานรับผิดชอบ สงสัยใครออกค่าใช้จ่าย,https://www.thairath.co.th/entertain/news/2529573,2022-10-18,ไทยรัฐ,บันเทิง
4,ส.ว.ไม่ทน หลังชาวเน็ตผุดแฮชแท็ก ไม่สนับสนุน #ธุรกิจสว,https://www.thairath.co.th/news/society/2709617,2023-07-14,ไทยรัฐ,การเมือง
4,"เปิดรายได้ ""ธี่หยด"" ล่าสุดทุบสถิติหนังไทย ทำเงินเร็วสุดแห่งปี สูงไม่แพ้สัปเหร่อ ",https://www.thairath.co.th/entertain/news/2740206,2023-11-13,ไทยรัฐ,บันเทิง
5,'ปริญญ์' ลาออกทุกตำแหน่งใน ปชป. ปฏิเสธลวนลามสาว พร้อมเข้าสู่กระบวนการยุติธรรม,https://voicetv.co.th/read/rMSYOOXhE,2022-04-14,VoiceTV,การเมือง
5,บุกจับชายอ้างเป็น พระบิดา ลัทธิประหลาด ให้กินปัสสาวะ-เสมหะ รักษาโรค,https://www.thairath.co.th/news/society/2387410,2022-05-08,ไทยรัฐ,สังคมไทย
5,“บิ๊กป้อม” ปลื้ม วอลเลย์บอลหญิงชนะเกาหลีใต้ ฝากคนไทยช่วยกันเชียร์,https://www.thairath.co.th/news/politic/2432697,2022-06-30,ไทยรัฐ,การเมือง
6,ประชาชนยังแห่ขอพร-เรียกพลังองค์ครูกายแก้ว ด้านวอชด็อกร่วมตรวจสอบพิธีบูชายัญลูกสุนัข-ลูกแมว ,https://thestandard.co/people-ask-for-blessings-from-kru-kai-kaew/,2023-08-16,The Standard,สังคมไทย
6,"กระทรวงแรงงาน เพิ่มช่องทางการติดต่อ เพื่อช่วยเหลือแรงงานไทยใน ""อิสราเอล""",https://www.thairath.co.th/news/society/2731362,2023-10-08,ไทยรัฐ,สังคมไทย
6,‘ภูมิใจไทย’ เหมาโรงดูหนัง ‘สัปเหร่อ’ ขณะที่ ‘อนุทิน’ บอกไม่ได้แย่งซีนนายกฯ นัดมา 2 สัปดาห์แล้ว,https://workpointtoday.com/firm-thai-ban/,2023-10-24,workpoint,การเมือง
7,"ระดม ""นักจิตวิทยา"" ดูแลครอบครัวเด็กเสียชีวิตจากเหตุกราดยิงหนองบัวลำภู",/news/content/320206,2022-10-06,ThaiPBS,อาชญากรรม
7,เพื่อไทย-ภูมิใจไทย หารือก่อนร่วมแถลงจัดตั้งรัฐบาล ,https://thestandard.co/pheu-thai-bhumjaithai-before-announcement/,2023-08-07,The Standard,การเมือง
7,"โซเชียลโพสต์อาลัย ""แตงโม นิดา"" หลังพบร่างแล้ว ดันแฮชแท็กขึ้นเทรนด์ ",https://www.thairath.co.th/news/society/2326235,2022-02-26,ไทยรัฐ,สังคมไทย
8,ทั่วโลกระทึก จับตามองท่าที ‘รัสเซีย’ หลังรุกคืบเข้ายูเครน ด้าน ‘สหรัฐฯ’ ประกาศคว่ำบาตรทางการเงิน ,https://thestandard.co/the-world-waits-for-russias-next-move/,2022-02-23,The Standard,เศรษฐกิจ
8,อินเดียยิงจรวดภารกิจ ‘จันทรายาน-3’ เริ่มภารกิจลงจอดยานอวกาศบนดวงจันทร์,https://voicetv.co.th/read/XooblF8Kb,2023-07-14,VoiceTV,ต่างประเทศ
8,นายกฯ ตอบกระแสข้าวเหนียวมะม่วง ยันรัฐบาลเร่งดัน Soft Power ,/news/content/314642,2022-04-18,ThaiPBS,การเมือง
9,โตโน่ โพสต์หลังมีดราม่าว่ายน้ำข้ามโขง ด้านผู้จัดการเผยข้อความจากใจผู้จัด,https://www.thairath.co.th/entertain/news/2521120,2022-10-07,ไทยรัฐ,บันเทิง
9,ลุงพล ป้าแต๋น ถวายต้นเงินกว่า 2 แสนบูชาพระธาตุพนม เชื่อทำดีต้องได้ดี,https://www.thairath.co.th/news/local/northeast/2621176,2023-02-04,ไทยรัฐ,สังคมไทย
9,"เปิดตัวเลข ส.ส.โหวตนายกฯ ไร้ใครแตกแถว โหวตหนุน-ค้าน-งดออกเสียง ""พิธา""",https://www.thairath.co.th/news/politic/2709375,2023-07-13,ไทยรัฐ,การเมือง
10,หนัง 400 ล้านที่ต้องดู! เศรษฐา ควงอุ๊งอิ๊ง พร้อม ครม. ดู 'สัปเหร่อ' 25 ต.ค. นี้,https://voicetv.co.th/read/BiLz5ZtGK,2023-10-23,VoiceTV,การเมือง
10,"พ่อแม่ร่ำไห้ เป็นห่วง ""ลูกชาย"" หลังโดนจับเป็นตัวประกันที่ ""อิสราเอล"" (คลิป)",https://www.thairath.co.th/news/society/2731313,2023-10-08,ไทยรัฐ,ต่างประเทศ
10,'อิ๊งค์' แสดงความเสียใจเหตุ 'อิแทวอน' ส่งกำลังใจให้ชาวเกาหลีใต้,https://voicetv.co.th/read/oFRbY3CeA,2022-10-30,VoiceTV,การเมือง